"created_at","id","text","user_id","user_name","user_screen_name","user_location","user_followers_count","user_friends_count","created_at","user_time_zone","user_profile_background_color","user_profile_image_url","geo","coordinates","place"
"Wed Mar 29 01:51:13 +0000 2017",846902532811120600,"RT @kylegriffin1: .@USGAO will review the costs &amp; security procedures associated w/ Trump's travel &amp; stays at Mar-a-Lago after a requâ€¦ ",731256759117996000,"Bad Hombre","ikassemdallas","null",460,431,"Fri May 13 22:56:12 +0000 2016","null","F5F8FA","http://pbs.twimg.com/profile_images/806487170030649345/uEAmUmtm_normal.jpg","null","null","null"
"Wed Mar 29 01:51:13 +0000 2017",846902533566087200,"RT @christoq: 1000 volunteers showed up to form this #RESIST sign at Ocean Beach #WeAreSanJose #MoralMarch #womeninscienceâ€¦ ",2477882549,"Jim's Original","jims__original","1250 S Union Ave, Chicago, IL ",15,1334,"Sat Apr 12 04:16:02 +0000 2014","null","EDECE9","http://pbs.twimg.com/profile_images/749764075949731840/dH3DpHO7_normal.jpg","null","null","null"
"Wed Mar 29 01:51:13 +0000 2017",846902532886573000,"@betsybates2003 @AprilDRyan \n\ntrump supporters, so gullible &amp; brainwashed.  Opn investigation of trump &amp; staff. Of course spicy wil b asked.",80887694,"Raven","raven821","Wi",73,196,"Thu Oct 08 16:40:20 +0000 2009","null","C0DEED","http://pbs.twimg.com/profile_images/821051187185205249/qiDca9Ww_normal.jpg","null","null","null"
"Wed Mar 29 01:51:13 +0000 2017",846902533821915100,"@JohnDeVore I admit the President Trump Easter Egg Collectible comment was a cute joke. I just think it was a bit snarky, IMHO.",789120472709492700,"Bill Glenney Jr","GlenneyBill","Pawtucket, RI",18,104,"Thu Oct 20 15:05:56 +0000 2016","null","F5F8FA","http://pbs.twimg.com/profile_images/843121833654325248/e6Q71KoM_normal.jpg","null","null","{""id"":""47623c4cf6ca7957"",""url"":""https://api.twitter.com/1.1/geo/id/47623c4cf6ca7957.json"",""place_type"":""city"",""name"":""Pawtucket"",""full_name"":""Pawtucket, RI"",""country_code"":""US"",""country"":""United States"",""bounding_box"":{""type"":""Polygon"",""coordinates"":[[[-71.422117,41.856092],[-71.422117,41.8984],[-71.333899,41.8984],[-71.333899,41.856092]]]},""attributes"":{}}"
"Wed Mar 29 01:51:13 +0000 2017",846902533842886700,"RT @mmpadellan: Sally Yates firing,\nElizabeth Warren persisting,\nAngela Merkel no-shake,\nApril Ryan HEAD SHAKE?\ntrump White House iâ€¦ ",4825604960,"McDrea Loves You ðŸŒˆ","McDreaBean","Kansas, USA",285,457,"Thu Jan 28 13:15:11 +0000 2016","Central Time (US & Canada)","000000","http://pbs.twimg.com/profile_images/833879402735923200/zvWB36OD_normal.jpg","null","null","null"
"Wed Mar 29 01:51:13 +0000 2017",846902533922549800,"RT @DanRather: We're roughly two months into the Trump Presidency, and it is the worst start to a time in office I have ever seen. https://â€¦",82486437,"Mark Heber","CableXJ","Canada",30,127,"Wed Oct 14 23:36:38 +0000 2009","Central Time (US & Canada)","DBE9ED","http://pbs.twimg.com/profile_images/1393110057/me_too_normal.jpg","null","null","null"
"Wed Mar 29 01:51:13 +0000 2017",846902534228783100,"RT @JohnJHarwood: Trump's business network reached alleged Russian mobsters https://t.co/Qo3uYLStaC via @usatoday",1696420021,"sam conley","samuraisam08","null",30,70,"Sat Aug 24 12:43:04 +0000 2013","null","022330","http://pbs.twimg.com/profile_images/378800000351066189/c948c770da40425640b29c2b5c4471b3_normal.jpeg","null","null","null"
"Wed Mar 29 01:51:13 +0000 2017",846902533935132700,"RT @KatyTurNBC: Ivanka Trump, Jared Kushner: Rising Powers at the White House - NBC News -  https://t.co/CKPoeuKSX9",772234466,"Leslie Seefeldt","lseefeldt3","null",208,184,"Tue Aug 21 20:48:46 +0000 2012","Central Time (US & Canada)","C0DEED","http://pbs.twimg.com/profile_images/839844088992014337/VQYw4Mxo_normal.jpg","null","null","null"
"Wed Mar 29 01:51:13 +0000 2017",846902533406679000,"RT @SutterSane: It's like he wants to hide statistics of hate crimes or something https://t.co/MWs0DXXrSo",1009456513,"Glen, Naughty Gay","GayestLion","Lutz, FL",475,422,"Thu Dec 13 18:34:48 +0000 2012","Eastern Time (US & Canada)","256B80","http://pbs.twimg.com/profile_images/845473317494624256/pWvWq4HH_normal.jpg","null","null","null"
"Wed Mar 29 01:51:13 +0000 2017",846902534354612200,"RT @simon_schama: Bizarre that Trump thinks that destroying things - the ACA, the EPA, NATO , privacy rights on wed browsing history are acâ€¦",1340546664,"DM","DME123456789","DC",96,261,"Wed Apr 10 00:03:33 +0000 2013","Eastern Time (US & Canada)","C0DEED","http://pbs.twimg.com/profile_images/830909311639486464/gZhMXn8t_normal.jpg","null","null","null"